Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.165,0.164,0.163,0.162,0.161,0.163,Cold faster,,,,
x2,0.216,0.217,0.219,0.218,0.216,0.2172,Cold faster,DIRTY CACHE,,,
x4,0.333,0.331,0.326,0.329,0.328,0.3294,Cold faster,optimizer, default_pipe,,
x8,0.551,0.552,0.548,0.542,0.557,0.55,Cold faster,nthreads,4,,comment
x16,0.992,0.998,1.007,0.994,0.984,0.995,Cold faster,,,,
x32,1.899,1.9,1.885,1.89,1.877,1.8902,Cold faster,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.105,0.085,0.088,0.088,0.081,0.0894,,,,,
x2,0.14,0.139,0.138,0.137,0.135,0.1378,,CLEAN CACHE,,,
x4,0.255,0.252,0.25,0.244,0.253,0.2508,,optimizer, default_pipe,,
x8,0.55,0.57,0.504,0.572,0.503,0.5398,,nthreads,4,,comment
x16,0.979,0.919,0.912,0.979,0.976,0.953,,,,,
x32,1.843,1.826,1.839,1.853,1.89,1.8502,,,,,
