Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.166,0.16,0.16,0.16,0.159,0.161,,,,,
x2,0.222,0.215,0.224,0.216,0.216,0.2186,,1 PARALLEL,,,
x4,0.332,0.328,0.325,0.326,0.327,0.3276,,optimizer, default_pipe,,
x8,0.557,0.543,0.544,0.544,0.547,0.547,,nthreads,1,,comment
x16,0.991,0.995,0.992,0.999,1.005,0.9964,,,,,
x32,1.922,1.897,1.881,1.908,1.905,1.9026,,,,,
x128,7.458,7.356,7.42,7.45,7.448,7.4264,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.162,0.163,0.164,0.162,0.16,0.1622,,,,,
x2,0.218,0.219,0.212,0.216,0.217,0.2164,,2 PARALLEL,,,
x4,0.33,0.329,0.328,0.327,0.324,0.3276,,optimizer, default_pipe,,
x8,0.555,0.554,0.55,0.55,0.545,0.5508,,nthreads,2,,
x16,1.004,1.004,0.976,0.987,0.994,0.993,,,,,
x32,1.897,1.894,1.883,1.892,1.882,1.8896,,,,,
x128,7.426,7.419,7.408,7.338,7.387,7.3956,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.165,0.164,0.163,0.162,0.161,0.163,,,,,
x2,0.216,0.217,0.219,0.218,0.216,0.2172,,4 PARALLEL,,,
x4,0.333,0.331,0.326,0.329,0.328,0.3294,,optimizer, default_pipe,,
x8,0.551,0.552,0.548,0.542,0.557,0.55,,nthreads,4,,
x16,0.992,0.998,1.007,0.994,0.984,0.995,,,,,
x32,1.899,1.9,1.885,1.89,1.877,1.8902,,,,,
x128,7.394,7.366,7.375,7.541,7.409,7.417,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.16,0.163,0.158,0.162,0.161,0.1608,,,,,
x2,0.216,0.217,0.219,0.215,0.217,0.2168,,4 PARALLEL,,,
x4,0.325,0.325,0.327,0.325,0.321,0.3246,,optimizer,sequential_pipe,,
x8,0.542,0.543,0.542,0.54,0.541,0.5416,,nthreads,4,,
x16,0.979,0.977,0.977,0.977,0.98,0.978,,,,,
x32,1.885,1.878,1.885,1.881,1.875,1.8808,,,,,
x128,7.371,7.407,7.433,7.39,7.391,7.3984,,,,,
