Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.145,0.146,0.147,0.144,0.146,0.1456,Cold faster,,,,
x2,0.21,0.21,0.209,0.21,0.211,0.21,Cold faster,DIRTY CACHE,,,
x4,0.34,0.342,0.339,0.341,0.337,0.3398,Hot faster,optimizer, default_pipe,,
x8,0.602,0.603,0.608,0.604,0.605,0.6044,Hot faster,nthreads,4,,comment
x16,1.136,1.144,1,1.145,1.135,1.1384,Hot faster,,,,
x32,2.207,2.23,2.216,2.218,2.225,2.2192,Hot faster,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.089,0.098,0.087,0.089,0.095,0.0916,,,,,
x2,0.184,0.167,0.165,0.16,0.16,0.1672,,CLEAN CACHE,,,
x4,0.366,0.372,0.333,0.294,0.364,0.3458,,optimizer, default_pipe,,
x8,0.71,0.646,0.626,0.66,0.591,0.6466,,nthreads,4,,comment
x16,1.293,1.236,1.215,1.203,1.24,1.2374,,,,,
x32,2.266,2.278,2.25,2.261,2.508,2.3126,,,,,
