Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.145,0.146,0.147,0.148,0.144,0.146,,,,,
x2,0.211,0.211,0.209,0.209,0.21,0.21,,1 PARALLEL,,,
x4,0.342,0.342,0.338,0.34,0.34,0.3404,,optimizer, default_pipe,,
x8,0.608,0.608,0.597,0.606,0.607,0.6052,,nthreads,1,,comment
x16,1.116,1.138,1.139,1.139,1.142,1.1348,,,,,
x32,2.212,2.24,2.226,2.227,2.241,2.2292,,,,,
x128,9.947,9.171,9.151,9.195,9.176,9.328,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.147,0.146,0.148,0.144,0.147,0.1464,,,,,
x2,0.212,0.209,0.21,0.208,0.207,0.2092,,2 PARALLEL,,,
x4,0.342,0.34,0.338,0.339,0.341,0.34,,optimizer, default_pipe,,
x8,0.606,0.604,0.604,0.605,0.604,0.6046,,nthreads,2,,
x16,1.141,1.138,1.136,1.133,1.138,1.1372,,,,,
x32,2.216,2.222,2.218,2.229,2.219,2.2208,,,,,
x128,9.573,9.727,9.679,9.621,9.679,9.6558,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.145,0.146,0.147,0.144,0.146,0.1456,,,,,
x2,0.21,0.21,0.209,0.21,0.211,0.21,,4 PARALLEL,,,
x4,0.34,0.342,0.339,0.341,0.337,0.3398,,optimizer, default_pipe,,
x8,0.602,0.603,0.608,0.604,0.605,0.6044,,nthreads,4,,
x16,1.136,1.144,1,1.145,1.135,1.1384,,,,,
x32,2.207,2.23,2.216,2.218,2.225,2.2192,,,,,
x128,9.383,9.505,9.494,9.509,9.516,9.4814,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.16,0.144,0.142,0.143,0.143,0.1464,,,,,
x2,0.213,0.208,0.207,0.209,0.206,0.2086,,4 PARALLEL,,,
x4,0.344,0.331,0.338,0.329,0.338,0.336,,optimizer,sequential_pipe,,
x8,0.604,0.604,0.601,0.6,0.602,0.6022,,nthreads,4,,
x16,1.138,1.134,1.128,1.131,1.131,1.1324,,,,,
x32,2.191,2.177,2.181,2.17,2.179,2.1796,,,,,
x128,9.111,9.219,9.178,9.183,9.198,9.1778,,,,,
