Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.377,0.353,0.363,0.347,0.351,0.3582,Cold faster,,,,
x2,0.62,0.6,0.588,0.583,0.582,0.5946,Cold faster,DIRTY CACHE,,,
x4,1.094,1.052,1.064,1.051,1.054,1.063,Hot faster,optimizer, default_pipe,,
x8,1.993,1.997,1.989,1.996,1.994,1.9938,Cold faster,nthreads,4,,comment
x16,3.993,3.849,4,3.834,3.877,3.8824,Cold faster,,,,
x32,7.76,7.561,7.576,7.59,7.597,7.6168,Cold faster,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.39,0.343,0.384,0.325,0.289,0.3462,,,,,
x2,0.559,0.565,0.531,0.557,0.556,0.5536,,CLEAN CACHE,,,
x4,1.006,1.102,1.052,1.106,1.066,1.0664,,optimizer, default_pipe,,
x8,1.987,2.003,2.011,1.936,1.926,1.9726,,nthreads,4,,comment
x16,3.786,3.766,3.747,3.832,3.81,3.7882,,,,,
x32,7.517,7.467,7.431,7.488,7.449,7.4704,,,,,
