Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.535,0.526,0.53,0.533,0.528,0.5304,,,,,
x2,0.985,0.994,0.981,0.985,0.99,0.987,,1 PARALLEL,,,
x4,1.96,1.972,1.965,1.983,1.968,1.9696,,optimizer, default_pipe,,
x8,3.83,3.876,3.84,3.844,3.866,3.8512,,nthreads,1,,comment
x16,7.604,7.603,7.616,7.662,7.596,7.6162,,,,,
x32,15.152,15.144,15.242,15.275,15.131,15.1888,,,,,
x128,63.246,63.144,62.785,62.926,62.629,62.946,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.562,0.549,0.547,0.55,0.545,0.5506,,,,,
x2,1.021,1.021,1.018,1.016,1.023,1.0198,,2 PARALLEL,,,
x4,1.97,1.958,1.964,1.963,1.959,1.9628,,optimizer, default_pipe,,
x8,3.868,3.838,3.85,3.895,3.849,3.86,,nthreads,2,,
x16,7.579,7.622,7.586,7.604,7.602,7.5986,,,,,
x32,15.202,15.192,15.202,15.501,15.184,15.2562,,,,,
x128,62.935,62.494,62.497,62.419,62.734,62.6158,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.536,0.535,0.535,0.538,0.537,0.5362,,,,,
x2,1.013,1.011,1.02,1.005,1.017,1.0132,,4 PARALLEL,,,
x4,1.969,1.977,1.963,1.978,1.989,1.9752,,optimizer, default_pipe,,
x8,3.923,3.824,3.84,3.849,3.845,3.8562,,nthreads,4,,
x16,7.62,7.618,7.759,7.707,7.613,7.6634,,,,,
x32,15.183,15.189,15.184,15.121,15.158,15.167,,,,,
x128,62.827,63.152,63.549,62.589,62.958,63.015,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.553,0.533,0.537,0.535,0.537,0.539,,,,,
x2,1.022,1.025,1.022,1.018,1.02,1.0214,,4 PARALLEL,,,
x4,1.955,1.949,1.963,1.959,1.955,1.9562,,optimizer,sequential_pipe,,
x8,3.886,3.852,3.88,3.848,3.87,3.8672,,nthreads,4,,
x16,7.613,7.666,7.641,7.667,7.605,7.6384,,,,,
x32,15.205,15.184,15.21,15.151,15.182,15.1864,,,,,
x128,62.439,62.279,62.428,64.032,62.636,62.7628,,,,,
