Pymongo,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.104871,0.08957,0.089678,0.094013,0.089292,0.0934848,Cold faster,,,,
x2,0.196605,0.169809,0.16511,0.166297,0.164448,0.1724538,Cold faster,DIRTY CACHE,,,
x4,0.33961,0.318295,0.309831,0.312159,0.318366,0.3196522,Cold faster,,,,
x8,0.601887,0.610682,0.607684,0.603944,0.599736,0.6047866,Hot faster,,,,comment
x16,1.284646,1.186596,1.191293,1.198609,1.195103,1.2112494,Cold faster,,,,
x32,2.495265,2.355119,2.341522,2.377249,2.350617,2.3839544,Cold faster,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.090543,0.091141,0.093049,0.089413,0.089765,0.0907822,,,,,
x2,0.166008,0.166147,0.16589,0.166171,0.165208,0.1658848,,CLEAN CACHE,,,
x4,0.314641,0.312054,0.312287,0.31084,0.31026,0.3120164,,,,,
x8,0.606528,0.60478,0.614856,0.61211,0.607729,0.6092006,,,,,comment
x16,1.199457,1.200143,1.196461,1.193773,1.208338,1.1996344,,,,,
x32,2.365013,2.361637,2.377765,2.379558,2.359748,2.3687442,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Pandas,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,1.125953,1.116524,1.073989,1.125947,1.096329,1.1077484,,,,,
x2,2.201989,2.179378,2.195022,2.183432,2.160586,2.1840814,,DIRTY CACHE,,,
x4,4.464053,4.47313,4.465641,4.552671,4.714463,4.5339916,,,,,
x8,8.939767,9.29512,9.205018,9.21596,9.134196,9.1580122,,,,,comment
x16,18.359166,18.14507,18.152463,19.295845,18.156899,18.4218886,,,,,
x32,36.356545,36.146709,36.5199,36.454519,36.215771,36.3386888,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,1.091991,1.091718,1.097176,1.096517,1.086261,1.0927326,,,,,
x2,2.28711,2.257859,2.213399,2.241779,2.217705,2.2435704,,CLEAN CACHE,,,
x4,4.567089,4.514904,4.540731,4.74063,4.631247,4.5989202,,,,,
x8,9.532053,9.216997,9.332238,9.280833,9.074109,9.287246,,,,,comment
x16,18.722542,18.806801,18.301012,18.567408,18.502566,18.5800658,,,,,
x32,36.671635,36.400568,37.414619,37.21911,37.042998,36.949786,,,,,
