Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.697631,0.687155,0.685751,0.67578,0.688132,0.6868898,Cold faster,,,,
x2,1.419447,1.374328,1.377943,1.367568,1.36041,1.3799392,Cold faster,DIRTY CACHE,,,
x4,2.899017,2.839441,2.850138,2.859888,2.864079,2.8625126,Cold faster,optimizer, default_pipe,,
x8,5.668016,5.684195,5.729581,5.644387,5.601783,5.6655924,Hot faster,nthreads,4,,comment
x16,11.311874,11.301428,11.375304,11.257163,11.171691,11.283492,Cold faster,,,,
x32,22.503013,22.367652,22.001985,22.502017,22.044644,22.2838622,Hot faster,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.676327,0.681491,0.676025,0.672008,0.680714,0.677313,,,,,
x2,1.37213,1.383655,1.366746,1.376078,1.357167,1.3711552,,CLEAN CACHE,,,
x4,2.871353,2.840974,2.833598,2.823408,2.82371,2.8386086,,optimizer, default_pipe,,
x8,5.621461,5.577442,5.656347,5.809292,5.724672,5.6778428,,nthreads,4,,comment
x16,11.168372,11.151567,11.408381,11.051852,11.256247,11.2072838,,,,,
x32,22.432409,22.333649,22.337051,22.45054,22.105177,22.3317652,,,,,
