Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.685443,0.694252,0.691984,0.699976,0.698256,0.6939822,,,,,
x2,1.416011,1.363625,1.404074,1.398985,1.38721,1.393981,,1 PARALLEL,,,
x4,2.847688,2.855049,2.832907,2.855276,2.795564,2.8372968,,optimizer, default_pipe,,
x8,5.786055,5.85204,5.601559,5.660355,5.654446,5.710891,,pools,1,,comment
x16,11.497941,11.200212,11.14903,11.143426,11.524426,11.303007,,,,,
x32,22.359126,22.187472,22.137554,22.382026,22.375327,22.288301,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.554844,0.566227,0.561903,0.569539,0.567912,0.564085,,,,,
x2,1.143328,1.097157,1.112037,1.122078,1.113557,1.1176314,,2 PARALLEL,,,
x4,2.287848,2.268301,2.280717,2.276027,2.249804,2.2725394,,optimizer, default_pipe,,
x8,4.641334,4.609991,4.478891,4.496407,4.509541,4.5472328,,pools,2,,
x16,9.205575,8.946402,8.842114,8.854645,9.159897,9.0017266,,,,,
x32,17.703897,17.574074,17.500948,17.726463,17.510342,17.6031448,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.471041,0.489186,0.474743,0.488935,0.481645,0.48111,,,,,
x2,0.965619,0.92949,0.961311,0.952707,0.962466,0.9543186,,4 PARALLEL,,,
x4,1.937595,1.930827,1.904028,1.903064,1.929002,1.9209032,,optimizer, default_pipe,,
x8,3.795455,3.766732,3.792679,3.733638,3.806929,3.7790866,,pools,4,,
x16,7.468515,7.539904,7.502445,7.55444,7.446964,7.5024536,,,,,
x32,14.61281,14.470826,14.50687,14.437422,14.468469,14.4992794,,,,,
