Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,3.758187,3.744299,3.750898,3.728941,3.701401,3.7367452,Hot faster,,,,
x2,7.476063,7.483054,7.258426,7.6076,7.462553,7.4575392,Hot faster,DIRTY CACHE,,,
x4,14.931373,15.032511,14.61205,14.914054,15.234495,14.9448966,Cold faster,,,,
x8,30.346849,31.121734,29.952016,31.45037,29.835028,30.5411994,Hot faster,,,,comment
x16,61.360888,60.990314,60.738444,63.117467,60.356122,61.312647,Hot faster,,,,
x32,128.547556,122.699087,123.89384,124.533056,122.946623,124.5240324,Cold faster,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,3.750259,3.727741,3.709844,3.736598,3.79569,3.7440264,,,,,
x2,7.597843,7.257767,7.4975,7.495916,7.565462,7.4828976,,CLEAN CACHE,,,
x4,14.667054,15.001033,14.794622,14.905307,14.582575,14.7901182,,,,,
x8,31.2288,30.588047,30.027241,31.442165,30.033906,30.6640318,,,,,
x16,62.666382,61.697936,60.638055,61.845767,60.333833,61.4363946,,,,,
x32,122.131514,123.100305,120.949355,122.501033,122.583181,122.2530776,,,,,
