Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,3.758187,3.744299,3.750898,3.728941,3.701401,3.7367452,,,,,
x2,8.233726,7.483054,7.295002,7.157514,7.335793,7.5010178,,1 PARALLEL,,,
x4,16.921274,14.995678,14.925443,14.898422,14.824286,15.3130206,,optimizer, default_pipe,,
x8,33.58977,30.096001,30.190535,30.880677,29.935816,30.9385598,,pools,1,,comment
x16,65.672489,61.785957,59.387667,60.518896,62.05949,61.8848998,,,,,
x32,122.739452,124.281194,124.631336,126.361488,122.690774,124.1408488,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,2.958282,2.590146,2.570948,2.594747,2.587609,2.6603464,,,,,
x2,5.825608,5.079983,5.019718,4.971063,5.040257,5.1873258,,2 PARALLEL,,,
x4,11.905581,10.367874,10.325043,10.306568,10.269656,10.6349444,,optimizer, default_pipe,,
x8,24.343343,20.993147,21.114997,21.233477,20.923184,21.7216296,,pools,2,,
x16,47.508958,42.651993,41.588613,41.871644,42.668561,43.2579538,,,,,
x32,119.259226,109.972559,112.868912,106.397183,102.253043,110.1501846,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,2.00211,1.662088,1.651909,1.658151,1.654395,1.7257306,,,,,
x2,4.076741,3.414279,3.33246,3.397219,3.391229,3.5223856,,4 PARALLEL,,,
x4,8.289523,6.832073,6.902339,6.884107,6.873769,7.1563622,,optimizer, default_pipe,,
x8,16.882573,13.610803,13.80677,13.853787,13.839622,14.398711,,pools,4,,
x16,33.199386,27.883902,28.319763,28.165788,28.489042,29.2115762,,,,,
x32,75.518949,84.616459,78.177821,74.839733,69.831933,76.596979,,,,,
