Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.322,0.308,0.313,0.313,0.312,0.3136,Hot faster,,,,
x2,0.616,0.575,0.573,0.577,0.573,0.5828,Hot faster,DIRTY CACHE,,,
x4,1.056,1.053,1.055,1.052,1.055,1.0542,Hot faster,max_parallel_maintenance_workers,2,,
x8,2.139,2.07,2.05,2.045,2.05,2.0708,Hot faster,max_parallel_workers,8,,comment
x16,4.24,4.221,4.238,4.103,4.164,4.1932,Hot faster,max_parallel_workers_per_gather,2,,
x32,8.336,8.174,8.199,8.231,8.152,8.2184,Hot faster,max_worker_processes,8,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.331,0.313,0.312,0.314,0.317,0.3174,,,,,
x2,0.612,0.574,0.579,0.58,0.581,0.5852,,CLEAN CACHE,,,
x4,1.133,1.071,1.079,1.074,1.079,1.0872,,max_parallel_maintenance_workers,2,,
x8,2.212,2.105,2.087,2.093,2.105,2.1204,,max_parallel_workers,8,,comment
x16,4.234,4.228,4.228,4.219,4.232,4.2282,,max_parallel_workers_per_gather,2,,
x32,8.791,8.34,8.245,8.304,8.251,8.3862,,max_worker_processes,8,,
