Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,
x1,0.326,0.318,0.313,0.316,0.315,0.3176,,,
x2,0.602,0.584,0.581,0.578,0.582,0.5854,,1 PARALLEL,
x4,1.15,1.105,1.102,1.107,1.106,1.114,,max_parallel_maintenance_workers,1
x8,2.243,2.157,2.158,2.168,2.156,2.1764,,max_parallel_workers,1
x16,4.385,4.299,4.342,4.306,4.352,4.3368,,max_parallel_workers_per_gather,1
x32,8.474,8.54,8.543,8.525,8.521,8.5206,,max_worker_processes,1
x128,32.589,32.557,32.612,32.588,32.496,32.5684,,,
,,,,,,,,,
,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,
x1,0.33,0.32,0.315,0.318,0.316,0.3198,,,
x2,0.611,0.586,0.585,0.585,0.591,0.5916,,2 PARALLEL,
x4,1.138,1.113,1.13,1.134,1.114,1.1258,,max_parallel_maintenance_workers,2
x8,2.27,2.777,2.212,2.182,2.184,2.325,,max_parallel_workers,2
x16,4.389,4.436,4.444,4.424,4.398,4.4182,,max_parallel_workers_per_gather,2
x32,8.602,8.587,8.56,8.506,8.522,8.5554,,max_worker_processes,2
x128,31.956,31.632,31.68,31.698,31.656,31.7244,,,
,,,,,,,,,
,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,
x1,0.369,0.338,0.402,0.319,0.352,0.356,,,
x2,0.674,0.595,0.644,0.591,0.594,0.6196,,4 PARALLEL,
x4,1.161,1.117,1.116,1.114,1.126,1.1268,,max_parallel_maintenance_workers,4
x8,2.237,2.181,2.174,2.193,2.178,2.1926,,max_parallel_workers,4
x16,4.358,4.431,4.513,4.402,4.395,4.4198,,max_parallel_workers_per_gather,4
x32,8.761,8.681,8.764,8.703,8.692,8.7202,,max_worker_processes,4
x128,30.273,30.356,30.299,30.446,30.332,32.5684,,,
