Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,
x1,1.243,1.149,1.153,1.155,1.154,1.1708,,,
x2,2.263,2.234,2.229,2.237,2.245,2.2416,,1 PARALLEL,
x4,4.369,4.453,4.336,4.359,4.408,4.385,,max_parallel_maintenance_workers,1
x8,8.618,8.675,8.573,8.6,8.573,8.6078,,max_parallel_workers,1
x16,17.214,17.176,17.173,17.191,17.232,17.1972,,max_parallel_workers_per_gather,1
x32,33.532,33.572,34.051,33.489,33.458,33.6204,,max_worker_processes,1
x128,132.648,132.056,132.502,131.665,132.036,132.1814,,,
,,,,,,,,,
,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,
x1,1.169,1.153,1.152,1.154,1.161,1.1578,,,
x2,2.274,2.242,2.236,2.332,2.25,2.2668,,2 PARALLEL,
x4,4.335,4.34,4.351,4.362,4.327,4.343,,max_parallel_maintenance_workers,2
x8,8.617,8.645,8.642,8.604,8.628,8.6272,,max_parallel_workers,2
x16,17.188,17.204,17.138,17.133,17.154,17.1634,,max_parallel_workers_per_gather,2
x32,33.24,33.245,33.377,33.757,33.713,33.4664,,max_worker_processes,2
x128,132.726,132.571,133.209,133.377,132.394,132.8554,,,
,,,,,,,,,
,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,
x1,1.188,1.164,1.148,1.142,1.15,1.1584,,,
x2,2.254,2.229,2.224,2.228,2.221,2.2312,,4 PARALLEL,
x4,4.209,4.213,4.222,4.183,4.222,4.2098,,max_parallel_maintenance_workers,4
x8,8.358,8.347,8.336,8.337,8.346,8.3448,,max_parallel_workers,4
x16,16.551,16.643,16.561,16.634,16.552,16.5882,,max_parallel_workers_per_gather,4
x32,32.602,32.25,32.385,32.22,33.428,32.577,,max_worker_processes,4
x128,132.973,133.139,133.399,133.252,133.436,133.2398,,,
