Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,
x1,1.67,1.668,1.749,1.672,1.668,1.6854,Hot faster,,
x2,3.28,3.281,3.278,3.292,3.283,3.2828,Hot faster,DITRY CACHE,
x4,6.441,6.433,6.418,6.41,6.408,6.422,Hot faster,max_parallel_maintenance_workers,2
x8,12.858,12.82,12.846,12.797,12.78,12.8202,Hot faster,max_parallel_workers,8
x16,25.627,25.629,25.603,25.592,25.541,25.5984,Hot faster,max_parallel_workers_per_gather,2
x32,50.198,50.3,50.584,50.784,50.293,50.4318,Hot faster,max_worker_processes,8
,,,,,,,,,
,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,
x1,1.709,1.818,1.701,1.678,1.686,1.7184,,,
x2,3.309,3.311,3.325,3.316,3.322,3.3166,,CLEAN CACHE,
x4,6.589,6.563,6.585,6.592,6.558,6.5774,,max_parallel_maintenance_workers,2
x8,13.084,13.131,13.133,13.094,13.107,13.1098,,max_parallel_workers,8
x16,26.17,26.049,26.148,26.18,26.148,26.139,,max_parallel_workers_per_gather,2
x32,51.411,50.893,50.986,51.217,51.055,51.1124,,max_worker_processes,8
