Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.254,0.247,0.249,0.25,0.247,0.2494,,,,,
x2,0.478,0.466,0.469,0.469,0.468,0.47,,1 PARALLEL,,,
x4,0.895,0.878,0.876,0.876,0.876,0.8802,,max_parallel_maintenance_workers,1,,
x8,1.735,1.688,1.69,1.695,1.695,1.7006,,max_parallel_workers,1,,comment
x16,3.395,3.34,3.335,3.33,3.337,3.3474,,max_parallel_workers_per_gather,1,,
x32,6.661,6.655,6.738,6.631,6.747,6.6864,,max_worker_processes,1,,
x128,25.533,25.201,25.525,25.256,25.601,25.4232,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.248,0.246,0.248,0.248,0.248,0.2476,,,,,
x2,0.481,0.47,0.471,0.468,0.469,0.4718,,2 PARALLEL,,,
x4,0.915,0.906,0.915,0.921,0.915,0.9144,,max_parallel_maintenance_workers,2,,
x8,1.805,1.775,1.773,1.772,1.784,1.7818,,max_parallel_workers,2,,
x16,3.507,3.461,3.452,3.501,3.378,3.4598,,max_parallel_workers_per_gather,2,,
x32,6.666,6.789,6.679,6.658,6.797,6.7178,,max_worker_processes,2,,
x128,26.848,26.179,26.231,26.322,26.255,26.367,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.246,0.242,0.244,0.24,0.244,0.2432,,,,,
x2,0.466,0.459,0.461,0.46,0.457,0.4606,,4 PARALLEL,,,
x4,0.887,0.88,0.876,0.874,0.886,0.8806,,max_parallel_maintenance_workers,4,,
x8,1.721,1.691,1.697,1.684,1.689,1.6964,,max_parallel_workers,4,,
x16,3.312,3.371,3.412,3.36,3.378,3.3666,,max_parallel_workers_per_gather,4,,
x32,6.608,6.686,6.619,6.691,6.715,6.6638,,max_worker_processes,4,,
x128,26.077,25.95,26.102,25.452,25.493,25.8148,,,,,
