Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,
x1,1.727,1.712,1.708,1.71,1.711,1.7136,,,
x2,3.403,3.354,3.36,3.367,3.363,3.3694,,1 PARALLEL,
x4,6.552,6.543,6.565,6.536,6.544,6.548,,max_parallel_maintenance_workers,1
x8,13.103,13.1,13.097,13.077,13.065,13.0884,,max_parallel_workers,1
x16,26.281,26.165,26.145,26.11,26.071,26.1544,,max_parallel_workers_per_gather,1
x32,51.723,51.45,51.406,51.568,51.535,51.5364,,max_worker_processes,1
x128,202.016,202.63,202.556,201.66,202.674,202.3072,,,
,,,,,,,,,
,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,
x1,1.625,1.641,1.626,1.62,1.626,1.6276,,,
x2,3.215,3.19,3.194,3.194,3.192,3.197,,2 PARALLEL,
x4,6.314,6.323,6.322,6.322,6.293,6.3148,,max_parallel_maintenance_workers,2
x8,12.615,12.631,12.673,12.63,12.584,12.6266,,max_parallel_workers,2
x16,25.244,25.247,25.296,25.21,25.168,25.233,,max_parallel_workers_per_gather,2
x32,49.921,49.762,49.762,49.681,49.601,49.7454,,max_worker_processes,2
x128,205.521,205.905,205.832,206.244,205.93,205.8864,,,
,,,,,,,,,
,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,
x1,1.636,1.612,1.614,1.615,1.616,1.6186,,,
x2,3.167,3.179,3.18,3.171,3.178,3.175,,4 PARALLEL,
x4,6.287,6.273,6.279,6.301,6.27,6.282,,max_parallel_maintenance_workers,4
x8,12.601,12.546,12.567,12.581,12.618,12.5826,,max_parallel_workers,4
x16,25.027,25.119,25.059,25.044,25.063,25.0624,,max_parallel_workers_per_gather,4
x32,49.443,49.256,49.177,49.381,49.319,49.3152,,max_worker_processes,4
x128,200.407,200.382,200.616,201.1,201.148,200.7306,,,
