Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,
x1,6.969,7.024,6.967,7.137,7.027,7.0248,,,
x2,13.918,13.852,13.91,13.903,13.92,13.9006,,1 PARALLEL,
x4,27.844,27.835,27.676,27.742,27.79,27.7774,,max_parallel_maintenance_workers,1
x8,55.641,55.431,56.227,61.608,56.795,57.1404,,max_parallel_workers,1
x16,111.449,111.788,111.216,113.613,111.289,111.871,,max_parallel_workers_per_gather,1
x32,223.149,233.424,247.261,228.967,236.218,233.8038,,max_worker_processes,1
,,,,,,,,,
,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,
x1,6.968,6.971,6.974,7.177,6.961,7.0102,,,
x2,14.528,13.83,13.939,13.877,13.917,14.0182,,2 PARALLEL,
x4,27.772,27.895,27.753,27.963,27.685,27.8136,,max_parallel_maintenance_workers,2
x8,57.125,56.004,55.621,55.785,55.603,56.0276,,max_parallel_workers,2
x16,129.654,116.626,131.624,127.815,124.556,126.055,,max_parallel_workers_per_gather,2
x32,222.388,221.996,222.097,222.492,221.613,222.1172,,max_worker_processes,2
,,,,,,,,,
,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,
x1,6.266,6.289,6.3,6.229,6.484,6.3136,,,
x2,12.569,12.479,12.51,12.388,13.206,12.6304,,4 PARALLEL,
x4,25.081,25.43,24.991,25.511,24.905,25.1836,,max_parallel_maintenance_workers,4
x8,55.752,56.557,56,55.68,55.508,55.8994,,max_parallel_workers,4
x16,112.858,111.512,115.537,116.704,100.326,111.3874,,max_parallel_workers_per_gather,4
x32,224.228,223.606,221.051,222.771,222.006,222.7324,,max_worker_processes,4
