Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,0.327,0.324,0.413,0.317,0.323,0.3408,Cold faster,
x2,0.549,0.528,0.5,0.543,0.534,0.5308,Hot faster,
x4,0.862,0.831,0.776,0.769,0.891,0.8258,Hot faster,CLEAN CACHE
x8,1.322,1.343,1.536,1.405,1.426,1.4064,Hot faster,
x16,2.544,2.527,2.586,2.577,2.574,2.5616,Hot faster,
x32,4.806,4.859,4.828,4.828,4.797,4.8236,Cold faster,
,,,,,,,,
,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,0.404,0.419,0.315,0.308,0.311,0.3514,,
x2,0.481,0.549,0.518,0.547,0.454,0.5098,,
x4,0.827,0.759,0.759,0.773,0.809,0.7854,,DIRTY CACHE
x8,1.37,1.424,1.432,1.329,1.356,1.3822,,
x16,2.516,2.582,2.528,2.556,2.502,2.5368,,
x32,4.772,4.891,4.908,4.781,4.892,4.8488,,
