Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,0.346,0.334,0.342,0.349,0.296,0.3334,,
x2,0.525,0.528,0.42,0.521,0.518,0.5024,,
x4,0.817,0.787,0.817,0.728,0.799,0.7896,,Benchmark_1x
x8,1.376,1.306,1.275,1.325,1.284,1.3132,,
x16,2.413,2.556,2.505,2.513,2.516,2.5006,,
x32,4.861,4.786,4.82,4.715,4.686,4.7736,,
,,,,,,,,
,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,0.397,0.345,0.327,0.287,0.394,0.35,,
x2,0.422,0.471,0.519,0.513,0.513,0.4876,,
x4,0.723,0.745,0.753,0.805,0.797,0.7646,,Benchmark_2x
x8,1.377,1.302,1.293,1.313,1.28,1.313,,
x16,2.455,2.513,2.423,2.464,2.437,2.4584,,
x32,4.749,4.727,4.683,4.687,4.767,4.7226,,
,,,,,,,,
,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,0.328,0.303,0.332,0.336,0.337,0.3272,,
x2,0.433,0.428,0.47,0.434,0.446,0.4422,,
x4,0.769,0.717,0.706,0.751,0.796,0.7478,,Benchmark_4x
x8,1.361,1.272,1.319,1.285,1.375,1.3224,,
x16,2.516,2.506,2.494,2.486,2.497,2.4998,,
x32,4.704,4.808,4.726,4.713,4.81,4.7522,,
