Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,1.52,1.427,1.436,1.426,1.445,1.4508,Hot faster,
x2,1.686,1.603,1.519,1.636,1.561,1.601,Hot faster,CLEAN CACHE
x4,1.838,1.845,1.874,1.889,1.954,1.88,Cold faster,
x8,2.562,2.428,2.572,2.546,2.574,2.5364,Hot faster,
x16,3.89,3.685,3.769,3.821,3.829,3.7988,Hot faster,
x32,5.428,6.157,6.233,6.427,5.953,6.0396,Cold faster,
,,,,,,,,
,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,1.458,1.399,1.359,1.485,1.413,1.4228,,
x2,1.537,1.562,1.648,1.597,1.626,1.594,,DIRTY CACHE
x4,1.94,1.914,1.913,1.83,1.916,1.9026,,
x8,2.619,2.361,2.294,2.517,2.536,2.4654,,
x16,3.812,3.429,3.801,3.91,3.761,3.7426,,
x32,5.971,6.319,6.596,6.492,6.503,6.3762,,
