Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,1.39,1.357,1.376,1.334,1.394,1.3702,,
x2,1.46,1.485,1.466,1.469,1.569,1.4898,,Benchmark_1x
x4,1.806,1.942,1.973,1.747,1.814,1.8564,,
x8,2.443,2.647,2.507,2.513,2.484,2.5188,,
x16,3.952,3.916,3.873,3.87,3.664,3.855,,
x32,6.344,6.481,6.33,6.157,6.634,6.3892,,
,,,,,,,,
,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,1.389,1.298,1.347,1.372,1.371,1.3554,,
x2,1.46,1.471,1.57,1.473,1.47,1.4888,,Benchmark_2x
x4,1.776,1.84,1.849,1.949,1.848,1.8524,,
x8,2.619,2.345,2.558,2.345,2.457,2.4648,,
x16,3.922,3.977,3.865,3.848,3.955,3.9134,,
x32,6.58,6.742,6.515,6.607,6.098,6.5084,,
,,,,,,,,
,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,1.316,1.353,1.347,1.294,1.407,1.3434,,
x2,1.477,1.451,1.495,1.547,1.607,1.5154,,
x4,1.712,1.863,1.764,1.975,1.794,1.8216,,Benchmark_4x
x8,2.39,2.533,2.399,2.506,2.546,2.4748,,
x16,3.043,3.979,3.57,3.817,3.878,3.6574,,
x32,6.534,6.72,5.658,5.584,6.06,6.1112,,
