Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,0.681,0.673,0.741,0.655,0.627,0.6754,Hot faster,
x2,0.712,0.657,0.737,0.725,0.715,0.7092,Cold faster,CLEAN CACHE
x4,0.761,0.707,0.647,0.649,0.688,0.6904,Cold faster,
x8,0.664,0.701,0.664,0.683,0.68,0.6784,Cold faster,
x16,0.712,0.706,0.793,0.718,0.728,0.7314,Cold faster,
x32,0.749,0.823,0.756,0.761,0.733,0.7644,Cold faster,
,,,,,,,,
,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,0.714,0.659,0.67,0.645,0.683,0.6742,,
x2,0.724,0.771,0.753,0.683,0.678,0.7218,,DIRTY CACHE
x4,0.71,0.749,0.657,0.74,0.744,0.72,,
x8,0.738,0.748,0.753,0.695,0.702,0.7272,,
x16,0.775,0.711,0.794,0.787,0.785,0.7704,,
x32,0.805,0.81,0.72,0.768,0.722,0.765,,
