Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,2.199,2.071,2.093,2.093,2.021,2.0954,,
x2,3.272,3.311,3.302,3.407,3.396,3.3376,,
x4,5.822,5.749,5.439,5.866,5.838,5.7428,,Βenchmark_1x
x8,10.683,10.669,10.936,10.817,10.643,10.7496,,
x16,21.137,20.723,21.11,20.432,21.189,20.9182,,
x32,41.039,40.942,41.285,41.166,40.58,41.0024,,
x128,161.428,161.884,162.235,161.917,161.72,161.8368,,
,,,,,,,,
,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,2.077,3.04,2.126,2.067,1.975,2.257,,
x2,3.268,3.232,3.23,3.303,3.331,3.2728,,
x4,5.517,5.847,5.757,5.47,5.859,5.69,,Βenchmark_2x
x8,10.812,10.811,10.703,10.813,10.757,10.7792,,
x16,14.591,14.698,14.471,14.918,14.585,14.6526,,
x32,28.35,28.638,28.815,28.081,28.481,28.473,,
x128,111.758,111.694,110.689,112.221,110.98,111.4684,,
,,,,,,,,
,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,2.054,2.087,2.073,1.986,2.04,2.048,,
x2,3.27,3.233,3.367,3.293,3.279,3.2884,,
x4,5.926,5.755,5.755,5.849,5.686,5.7942,,Βenchmark_4x
x8,10.716,10.757,10.961,10.858,10.756,10.8096,,
x16,14.98,14.685,14.643,14.834,14.816,14.7916,,
x32,28.609,28.911,29.144,28.915,28.668,28.8494,,
x128,115.199,115.101,115.321,115.667,116.094,115.4764,,
